Date,Open,High,Low,Close,Volume
1/2/2001,14.5,13.5,13.5,13.5,500
1/8/2001,13.5,14,14,14,4000
1/9/2001,14,11,11,11,1000
1/24/2001,11,12,12,12,1500
2/2/2001,12,13,13,13,500
2/8/2001,13,13,13,13,2000
2/9/2001,13,13,13,13,3000
2/14/2001,13,13,13,13,1000
2/16/2001,13,13,13,13,2000
2/20/2001,13,12.5,12.5,12.5,500
3/1/2001,12.5,12.2,12.2,12.2,500
3/13/2001,12.2,12.2,12.2,12.2,0
3/20/2001,12.2,13.95,12.1,12.1,6000
3/21/2001,12.1,12,12,12,5000
3/22/2001,12,12,12,12,6000
3/28/2001,12,12,11.95,12,21000
4/11/2001,12,11.75,11.75,11.75,1000
4/17/2001,11.75,9.9,9.75,9.9,6500
4/19/2001,9.9,10,9.8,10,10500
4/20/2001,10,10.05,10.05,10.05,1000
4/26/2001,10.05,10.05,10,10,5000
4/27/2001,10,10.8,10.75,10.75,2000
5/3/2001,10.75,10.8,10.8,10.8,4000
5/4/2001,10.8,10.8,10.8,10.8,500
5/7/2001,10.8,11,11,11,500
5/8/2001,11,11.3,10,11.3,9500
5/10/2001,11.3,12.5,12,12.5,6500
5/11/2001,12.5,14,14,14,2000
5/16/2001,14,12.25,12.15,12.15,7500
5/22/2001,12.15,12.05,12.05,12.05,7500
5/23/2001,12.05,12,12,12,7000
5/24/2001,12,12.05,12.05,12.05,500
5/25/2001,12.05,12.05,12,12,6000
5/29/2001,12,12,11.75,11.75,25000
6/4/2001,11.75,12.25,12,12,16000
6/6/2001,12,12,12,12,3000
6/7/2001,12,12.25,11.5,11.5,10000
6/8/2001,11.5,12.25,12.25,12.25,46000
6/12/2001,12.25,12,12,12,500
6/14/2001,12,12.2,12.2,12.2,500
7/3/2001,12.2,12,12,12,1000
7/9/2001,12,11.5,11.5,11.5,500
7/10/2001,11.5,12,12,12,1000
7/11/2001,12,11.5,11.5,11.5,2500
7/17/2001,11.5,11.5,11.5,11.5,1000
7/26/2001,11.5,11,11,11,1000
8/6/2001,11,11,11,11,5500
8/10/2001,11,11,11,11,1000
8/22/2001,11,10.5,10.5,10.5,500
8/23/2001,10.5,11,10.75,11,6500
